Region Name,Window Size,Lambda,Limit,Amount,Percentage,Regulation Hours
CAR,quarter,50,0.1,191914.36289465427,0.0013720898489683,4467.0
CAR,year,0,0.09,314748.5499962568,0.0022502916608925,8760.0
FLA,month,0,0.01,99738.4482421577,0.0005410158368777,8760.0
MIDA,month,10,0.08,548813.1205365658,0.0010003837720055,8759.0
CAR,month,100,0.02,16676.369520187378,0.0001192275397795,2464.0
MIDA,year,50,0.04,578401.8153071404,0.0010543184338707,4950.0
FLA,year,10,0.06,210191.39077416065,0.0011401507962915,3914.0
MIDA,month,50,0.06,399216.8425781727,0.0007276977096248,3895.0
FLA,year,30,0.04,166272.69788739085,0.0009019206172033,2656.0
CAR,quarter,100,0.03,40960.38739985228,0.0002928458866416,2616.0
FLA,month,50,0.04,101102.44259238245,0.0005484146139581,1344.0
MIDA,quarter,0,0.03,452056.5587673187,0.0008240146390402,8760.0
FLA,month,30,0.01,28517.304276555777,0.0001546877208398,790.0
CAR,quarter,100,0.1,85668.80222529173,0.0006124882584797,2963.0
FLA,month,50,0.07,128413.3414311409,0.0006965583744792,1597.0
MIDA,year,100,0.08,526410.4245462418,0.0009595478431998,3114.0
FLA,month,50,0.08,134042.96256762743,0.0007270953864755,1643.0
CAR,quarter,50,0.05,156638.20369061828,0.0011198832958766,4142.0
MIDA,month,50,0.01,127784.3873295784,0.0002329270613559,1759.0
FLA,year,10,0.03,180958.13159817457,0.0009815794884709,4120.0
CAR,month,30,0.1,200491.01897242665,0.0014334085671971,5283.0
MIDA,year,10,0.09,807906.9331265688,0.0014726633802057,8759.0
MIDA,year,100,0.06,475646.4369863272,0.0008670145792217,2879.0
CAR,year,50,0.08,226378.36482074857,0.0016184898915934,4715.0
MIDA,year,0,0.03,615402.2057771683,0.0011217632321071,8760.0
MIDA,quarter,0,0.08,579879.1868475676,0.0010570114061393,8760.0
MIDA,year,10,0.05,712522.2126680613,0.0012987948576188,8759.0
MIDA,month,100,0.01,24152.71510219574,4.402588665243292e-05,207.0
CAR,year,10,0.09,314748.5499962568,0.0022502916608925,8754.0
CAR,quarter,50,0.06,167620.74570450187,0.0011984028719303,4254.0
MIDA,year,30,0.02,534663.3768450022,0.0009745914331612,8759.0
MIDA,quarter,50,0.03,337325.1192301512,0.0006148806625427,3580.0
CAR,year,10,0.08,310223.7536480129,0.0022179416739274,8754.0
CAR,year,0,0.1,318642.15635252,0.0022781289612213,8760.0
MIDA,year,30,0.04,671457.7257933617,0.0012239419710205,8759.0
CAR,month,0,0.04,204917.61860239503,0.0014650564976913,8760.0
MIDA,month,10,0.1,575531.6697125435,0.0010490866947437,8758.0
CAR,year,50,0.01,51387.28692388535,0.000367392902182,3147.0
MIDA,year,0,0.08,789814.6166733503,0.0014396844678938,8760.0
MIDA,month,100,0.09,283615.0072466135,0.0005169771642291,1902.0
MIDA,quarter,0,0.06,543138.8349708319,0.0009900406096698,8760.0
FLA,month,100,0.04,21459.19300055504,0.0001164020842968,174.0
CAR,month,100,0.08,50720.88428130746,0.0003626284630467,2735.0
MIDA,month,0,0.03,424299.3316489458,0.000773418400492,8760.0
CAR,year,0,0.03,263220.95957270265,0.0018818956602203,8760.0
CAR,quarter,0,0.01,116225.32980147004,0.0008309518516919,8760.0
CAR,quarter,30,0.05,199439.7903496325,0.0014258928185031,5231.0
CAR,month,10,0.1,242677.90157547596,0.0017350232692246,8552.0
FLA,month,10,0.01,88918.13510864973,0.0004823227163372,3953.0
MIDA,month,30,0.01,194002.03464615345,0.0003536294595259,3457.0
FLA,month,0,0.05,189023.97620368004,0.0010253314191083,8760.0
FLA,year,100,0.02,7361.416146963835,3.993086705826369e-05,64.0
FLA,year,0,0.01,105969.4017481804,0.0005748146836115,8760.0
FLA,month,30,0.03,135349.04189398885,0.000734180012437,2476.0
FLA,month,0,0.03,173050.78271380067,0.0009386872934392,8760.0
MIDA,month,100,0.03,150229.4531210661,0.0002738402223923,1091.0
CAR,year,30,0.05,251055.70288732648,0.0017949202772613,5731.0
MIDA,quarter,50,0.05,408584.67290890217,0.0007447735139215,4008.0
FLA,quarter,0,0.08,222291.1265062988,0.0012057839474834,8760.0
FLA,year,0,0.09,231498.6178212762,0.0012557285647009,8760.0
CAR,quarter,50,0.03,123078.25548696518,0.0008799467764436,3782.0
MIDA,month,50,0.1,472430.5994229317,0.0008611527082288,4526.0
MIDA,month,0,0.06,512959.84586679935,0.0009350299515323,8760.0
CAR,year,10,0.1,318642.15635252,0.0022781289612213,8754.0
CAR,year,0,0.05,290312.1351573765,0.0020755837534703,8760.0
CAR,month,50,0.08,149768.26799234748,0.0010707667582059,4138.0
FLA,year,10,0.05,202804.0029706955,0.0011000790499864,3959.0
CAR,month,10,0.05,213867.97540158036,0.0015290469855504,8380.0
MIDA,month,10,0.02,368130.9997913837,0.0006710340266709,8418.0
FLA,year,100,0.08,66535.73036569357,0.0003609128122654,489.0
CAR,quarter,30,0.08,227908.7547774911,0.0016294313995292,5554.0
MIDA,month,0,0.01,264336.92840611935,0.0004818368286471,8760.0
FLA,year,50,0.08,164152.6480090618,0.0008904207334638,1876.0
CAR,quarter,100,0.08,79276.81241300702,0.0005667887902176,2920.0
FLA,quarter,10,0.02,159436.92956265807,0.0008648410457232,4289.0
MIDA,month,10,0.09,562994.2975325584,0.0010262334078904,8759.0
MIDA,year,50,0.09,727246.8049837351,0.0013256350380933,5696.0
CAR,quarter,30,0.06,211028.6071429253,0.0015087469501262,5366.0
MIDA,quarter,50,0.01,151993.38264346123,0.0002770555363182,2066.0
MIDA,month,0,0.07,532377.4599645138,0.0009704246338158,8760.0
FLA,quarter,50,0.05,132663.9235995412,0.0007196150021848,1623.0
MIDA,year,10,0.01,380649.7372920513,0.0006938533459857,8759.0
MIDA,year,30,0.06,743762.754303813,0.0013557405276686,8759.0
MIDA,quarter,50,0.04,377984.6454594135,0.000688995381552,3831.0
FLA,month,30,0.04,149173.02868762612,0.0008091660977026,2567.0
MIDA,year,0,0.06,743762.754303813,0.0013557405276686,8760.0
MIDA,month,30,0.05,467395.58212435246,0.0008519748124956,7200.0
FLA,quarter,30,0.04,165524.96084740758,0.0008978646329005,2680.0
CAR,year,100,0.06,98498.45465919375,0.0007042137323048,3006.0
MIDA,month,10,0.07,532377.4599645138,0.0009704246338158,8759.0
FLA,year,100,0.03,24772.715836167336,0.0001343757781081,202.0
CAR,month,30,0.06,178911.0960496366,0.0012791231206194,5084.0
MIDA,year,0,0.05,712522.2126680613,0.0012987948576188,8760.0
FLA,quarter,30,0.1,206135.05980184677,0.0011181478542535,2819.0
CAR,quarter,50,0.01,29337.818039655685,0.0002097504413736,2929.0
FLA,month,30,0.1,181753.21078512075,0.0009858922729516,2687.0
MIDA,month,10,0.04,461575.1602897644,0.0008413652710476,8759.0
FLA,month,50,0.03,83781.07587215304,0.0004544575304344,1162.0
CAR,month,10,0.02,160828.8770042956,0.0011498444734941,7217.0
FLA,month,100,0.01,392.381626456976,2.1284136434293287e-06,3.0
CAR,quarter,10,0.02,177780.47309616208,0.0012710397429395,7035.0
MIDA,month,50,0.05,374702.3676201105,0.0006830124023506,3736.0
CAR,month,100,0.06,42200.993303120136,0.0003017155863387,2668.0
CAR,quarter,0,0.05,242248.9951028824,0.0017319568066194,8760.0
CAR,month,50,0.09,154710.7228845358,0.001106102790821,4185.0
CAR,year,50,0.02,147388.99746006727,0.0010537561869487,4037.0
MIDA,quarter,50,0.02,276511.5437514782,0.0005040288775726,3153.0
FLA,month,10,0.07,193197.80692261457,0.0010479717204082,3804.0
FLA,quarter,50,0.07,151424.6098653674,0.000821379452699,1770.0
CAR,month,100,0.04,31975.43137022853,0.0002286080319249,2587.0
FLA,year,10,0.01,95622.52767923474,0.0005186896602917,3931.0
FLA,quarter,10,0.04,192742.13865971565,0.0010455000181617,4041.0
FLA,quarter,50,0.01,3282.721521407366,1.7806616830741522e-05,59.0
MIDA,year,0,0.07,768821.3131834269,0.0014014175982687,8760.0
MIDA,quarter,100,0.05,234120.3744095564,0.0004267576967296,1597.0
FLA,month,10,0.03,167476.29704508185,0.0009084493552882,4109.0
FLA,quarter,100,0.02,5135.753692775965,2.7858104182142405e-05,45.0
MIDA,quarter,30,0.06,529924.8351045847,0.0009659539569736,7914.0
CAR,month,50,0.06,136514.414924711,0.0009760084661243,4009.0
FLA,year,30,0.02,122072.87470909952,0.0006621654901875,2281.0
FLA,quarter,100,0.01,393.6645407676697,2.135372614334483e-06,3.0
MIDA,year,30,0.1,823772.810988903,0.0015015839109805,8759.0
CAR,month,30,0.08,191660.0849000812,0.0013702718909483,5204.0
CAR,year,100,0.05,89382.78698018193,0.000639041355937,2934.0
MIDA,quarter,10,0.01,287593.63754725456,0.0005242294638529,8178.0
MIDA,month,50,0.02,244422.93836593628,0.0004455373457692,2813.0
MIDA,quarter,10,0.08,579879.1868475676,0.0010570114061393,8759.0
FLA,month,0,0.06,193908.46630963683,0.0010518265826984,8760.0
MIDA,year,100,0.02,264552.52529633045,0.0004822298214933,1828.0
CAR,quarter,30,0.03,166279.1578593254,0.0011888112028332,4880.0
MIDA,quarter,50,0.08,473262.63115537167,0.0008626693466104,4415.0
FLA,month,10,0.1,202240.98526126143,0.001097025047216,3716.0
MIDA,month,30,0.06,499799.8318687677,0.0009110417049865,7820.0
MIDA,month,50,0.08,443086.2818658352,0.0008076635003614,4337.0
FLA,quarter,50,0.1,169222.97230619192,0.0009179239259758,1888.0
MIDA,quarter,50,0.06,434630.3401862383,0.0007922498986877,4180.0
CAR,year,50,0.1,234954.25093132255,0.0016798031049493,4777.0
MIDA,month,30,0.02,314570.1057562828,0.0005734025247956,4731.0
FLA,month,0,0.1,206888.01453527808,0.00112223214113,8760.0
FLA,quarter,100,0.07,57849.038913965225,0.00031379319362,436.0
CAR,month,0,0.01,105135.8863145411,0.0007516679846085,8760.0
FLA,quarter,10,0.05,201167.06142041087,0.0010911997128966,3961.0
MIDA,year,100,0.07,503586.72476768494,0.0009179445031534,3010.0
FLA,year,100,0.09,72314.06721705198,0.0003922565097311,528.0
FLA,month,100,0.09,46887.26014521718,0.0002543327145493,350.0
MIDA,month,30,0.09,550213.9373356104,0.001002937199285,7873.0
FLA,month,100,0.1,49769.239795684814,0.0002699655688792,366.0
MIDA,year,30,0.05,712522.2126680613,0.0012987948576188,8759.0
MIDA,year,30,0.03,615402.2057771683,0.0011217632321071,8759.0
CAR,month,0,0.02,167179.13459137082,0.0011952455776227,8760.0
MIDA,quarter,100,0.1,323128.7369891405,0.0005890033103373,2104.0
FLA,month,0,0.09,204226.7314890027,0.001107796421507,8760.0
CAR,quarter,10,0.01,107257.09151563048,0.0007668335203199,6610.0
FLA,year,0,0.07,221123.78082969785,0.0011994518608179,8760.0
FLA,month,10,0.09,199501.40869939327,0.0010821646364874,3730.0
FLA,month,50,0.05,112783.74730685352,0.0006117780505997,1460.0
MIDA,month,30,0.04,429010.2921273708,0.0007820056011926,6440.0
MIDA,year,10,0.07,768821.3131834269,0.0014014175982687,8759.0
MIDA,year,0,0.02,534663.3768450022,0.0009745914331612,8760.0
MIDA,quarter,0,0.01,290513.40216457844,0.0005295516491869,8760.0
MIDA,quarter,30,0.09,594609.8901877403,0.0010838627258697,8759.0
CAR,year,100,0.03,61206.16966485977,0.0004375929077152,2697.0
CAR,year,0,0.04,279174.8122301996,0.0019959575728,8760.0
FLA,year,100,0.07,60905.54625952244,0.0003303727465269,453.0
MIDA,quarter,100,0.06,257556.2169651985,0.0004694768586786,1732.0
CAR,quarter,10,0.08,267151.11380270123,0.0019099942592127,8754.0
FLA,quarter,30,0.01,38138.80549874902,0.0002068780709754,1011.0
MIDA,year,100,0.04,404209.51078403,0.0007367984108749,2559.0
FLA,month,100,0.05,28652.144974291325,0.0001554191434177,227.0
CAR,quarter,0,0.07,260396.14335939288,0.001861699664501,8760.0
MIDA,month,50,0.09,459108.3920720816,0.0008368688135069,4445.0
MIDA,month,10,0.06,512959.84586679935,0.0009350299515323,8759.0
MIDA,month,100,0.02,98912.97974133492,0.0001802998799977,747.0
MIDA,month,0,0.05,490006.62401771545,0.0008931905169528,8760.0
FLA,year,10,0.1,231587.5485466421,0.0012562109557111,3826.0
FLA,quarter,50,0.08,157997.82364022732,0.0008570348374986,1812.0
CAR,quarter,10,0.09,272774.5394729078,0.0019501988857041,8754.0
MIDA,month,10,0.01,257772.2280147076,0.0004698706064598,7379.0
MIDA,year,50,0.08,708406.6405264139,0.0012912929386067,5629.0
FLA,quarter,10,0.09,221658.06917199487,0.0012023500255652,3805.0
FLA,year,10,0.08,221898.81599369645,0.0012036559195861,3840.0
FLA,year,30,0.09,207516.07002577183,0.0011256389313175,2844.0
CAR,month,0,0.07,229750.64631429315,0.0016425999849463,8760.0
MIDA,quarter,10,0.09,594609.8901877403,0.0010838627258697,8759.0
CAR,month,50,0.05,128168.70951518416,0.0009163409274254,3930.0
FLA,quarter,0,0.07,217790.36400419477,0.0011813702551253,8760.0
FLA,month,10,0.06,189048.12179735303,0.0010254623931589,3841.0
CAR,quarter,0,0.08,267151.11380270123,0.0019099942592127,8760.0
FLA,year,50,0.04,120921.27409741282,0.0006559188101994,1505.0
MIDA,quarter,30,0.01,224690.65513038635,0.0004095690804439,3918.0
MIDA,year,30,0.01,325044.89603602886,0.0005924961102419,4765.0
CAR,quarter,50,0.04,141837.08582508564,0.0010140628493484,3981.0
FLA,year,100,0.04,36659.37165650725,0.0001988531101667,287.0
MIDA,year,50,0.06,656205.8681727648,0.0011961406844156,5360.0
MIDA,month,0,0.02,369848.690674901,0.0006741650561979,8760.0
CAR,quarter,50,0.02,96281.04276457427,0.0006883603677848,3494.0
MIDA,year,10,0.04,671457.7257933617,0.0012239419710205,8759.0
CAR,month,50,0.01,20195.7610360384,0.0001443893947893,2833.0
CAR,year,100,0.04,77280.67619851232,0.0005525174339952,2835.0
CAR,month,30,0.02,119757.39858603476,0.0008562043427096,4444.0
MIDA,month,30,0.1,567112.1537127495,0.001033739490278,8185.0
CAR,year,0,0.07,304970.16220873594,0.0021803811736306,8760.0
MIDA,year,0,0.04,671457.7257933617,0.0012239419710205,8760.0
CAR,quarter,10,0.05,242248.9951028824,0.0017319568066194,8754.0
FLA,quarter,100,0.03,22638.988731592894,0.0001228017043633,189.0
CAR,quarter,100,0.09,82822.08477827907,0.0005921356801056,2944.0
FLA,year,0,0.08,226562.95240423083,0.001228955808525,8760.0
CAR,year,100,0.01,27305.130534797907,0.0001952177620604,2738.0
MIDA,year,10,0.02,534663.3768450022,0.0009745914331612,8759.0
CAR,year,0,0.08,310223.7536480129,0.0022179416739274,8760.0
CAR,month,100,0.03,25261.84316083789,0.0001806092990874,2532.0
CAR,year,10,0.04,279174.8122301996,0.0019959575728,8754.0
FLA,year,100,0.01,437.501538425684,2.3731596502484284e-06,3.0
MIDA,month,100,0.1,295029.9899007082,0.0005377845446972,1966.0
FLA,year,50,0.03,102842.03519126771,0.0005578507658363,1343.0
MIDA,quarter,10,0.05,520137.87374055386,0.0009481141551186,8759.0
CAR,month,100,0.09,53392.15203565359,0.0003817266655696,2756.0
CAR,year,30,0.04,238738.1221770644,0.0017068558551853,5620.0
CAR,month,0,0.06,223352.5560477972,0.0015968569015469,8760.0
CAR,year,10,0.05,290312.1351573765,0.0020755837534703,8754.0
FLA,quarter,30,0.09,202199.84019088745,0.0010968018621246,2817.0
MIDA,quarter,0,0.04,491332.9044835568,0.0008956080784241,8760.0
FLA,year,30,0.05,177771.2911657095,0.0009642929638262,2711.0
FLA,quarter,10,0.06,207642.03056183457,0.0011263221848274,3899.0
MIDA,quarter,30,0.1,607387.4785910845,0.0011071538820133,8759.0
FLA,year,50,0.1,176763.30268001556,0.0009588252856763,1967.0
FLA,year,30,0.01,42194.006121099,0.0002288748816044,1110.0
FLA,month,100,0.06,34585.42099785805,0.0001876032845377,270.0
MIDA,year,50,0.07,683036.3923695087,0.0012450477166938,5478.0
FLA,quarter,0,0.05,206132.9963491261,0.0011181366613723,8760.0
CAR,quarter,30,0.01,62913.30375391245,0.0004497980460857,3802.0
MIDA,year,100,0.09,549460.4257563353,0.001001563688471,3238.0
CAR,quarter,100,0.02,27706.839057147503,0.0001980897731879,2507.0
FLA,year,50,0.05,134683.00532484055,0.0007305671997434,1625.0
MIDA,quarter,10,0.06,543138.8349708319,0.0009900406096698,8759.0
MIDA,year,100,0.1,567614.8908785582,0.0010346558861939,3328.0
FLA,month,10,0.08,196527.7082735896,0.0010660342569513,3761.0
MIDA,quarter,100,0.09,310115.4394774437,0.0005652825005318,2033.0
FLA,year,0,0.02,166622.7938606143,0.0009038196588395,8760.0
MIDA,quarter,50,0.09,489007.31236207485,0.0008913689585278,4513.0
MIDA,quarter,100,0.07,278839.2795382738,0.0005082719049703,1859.0
FLA,month,50,0.01,1384.3578961491585,7.5092359959827745e-06,23.0
FLA,quarter,100,0.06,50938.38451567292,0.0002763074141783,390.0
FLA,month,0,0.02,156083.20644167066,0.0008466492916611,8760.0
MIDA,year,0,0.09,807906.9331265688,0.0014726633802057,8760.0
CAR,quarter,30,0.02,137897.6985038817,0.0009858982384613,4567.0
MIDA,year,50,0.03,516958.2317408323,0.000942318261875,4589.0
CAR,month,10,0.08,234150.41458505392,0.0016740560849019,8538.0
FLA,year,100,0.1,75856.63191834092,0.0004114726058338,546.0
MIDA,quarter,100,0.08,296933.760948658,0.0005412547635945,1966.0
FLA,year,0,0.04,198883.2060163021,0.0010788112913347,8760.0
CAR,year,50,0.06,212959.67050683495,0.0015225530686437,4601.0
CAR,quarter,50,0.07,174820.8475906551,0.0012498799295123,4312.0
CAR,quarter,30,0.07,219761.43249973652,0.0015711821990787,5452.0
FLA,quarter,100,0.05,42937.72281101346,0.0002329090581379,334.0
CAR,month,50,0.03,101110.62054991722,0.0007228893866353,3642.0
FLA,quarter,100,0.09,69653.29241135716,0.0003778235469808,515.0
MIDA,year,30,0.08,789814.6166733503,0.0014396844678938,8759.0
MIDA,quarter,100,0.01,29673.857692480087,5.408989795895806e-05,249.0
MIDA,year,50,0.05,622036.0677524805,0.0011338555229389,5182.0
CAR,month,0,0.08,235018.45402091744,0.0016802621243066,8760.0
MIDA,quarter,30,0.03,426403.2543543577,0.0007772534584621,6957.0
CAR,quarter,0,0.09,272774.5394729078,0.0019501988857041,8760.0
MIDA,quarter,30,0.05,506656.64484655857,0.000923540393837,7880.0
FLA,quarter,10,0.07,213022.23004874587,0.0011555062475363,3861.0
CAR,year,30,0.03,221523.9835446775,0.00158378354043,5463.0
FLA,month,50,0.02,56823.3273319006,0.0003082293792661,859.0
CAR,month,100,0.05,38481.43882903457,0.0002751226682288,2640.0
CAR,year,30,0.01,104943.33812186122,0.0007502913631998,4513.0
FLA,quarter,0,0.01,105666.57001405954,0.0005731720195541,8760.0
CAR,year,30,0.07,266856.87669593096,0.0019078906139133,5845.0
MIDA,quarter,0,0.05,520137.87374055386,0.0009481141551186,8760.0
FLA,quarter,10,0.03,180428.42868846652,0.0009787061966958,4143.0
FLA,year,100,0.06,54591.21154394746,0.0002961216112758,413.0
MIDA,quarter,30,0.08,579879.1868475676,0.0010570114061393,8759.0
MIDA,year,50,0.01,258067.31724751,0.0004704084989932,3075.0
MIDA,quarter,0,0.09,594609.8901877403,0.0010838627258697,8760.0
FLA,month,100,0.07,40179.3699888289,0.0002179467984798,311.0
MIDA,quarter,10,0.1,607387.4785910845,0.0011071538820133,8759.0
MIDA,year,30,0.09,807906.9331265688,0.0014726633802057,8759.0
MIDA,month,50,0.04,344458.5967105627,0.0006278836590862,3542.0
FLA,quarter,100,0.08,64769.52025407553,0.0003513322777927,485.0
FLA,quarter,50,0.03,100775.7153454721,0.0005466423323752,1341.0
FLA,quarter,30,0.06,185252.5846105516,0.0010048740868066,2773.0
CAR,quarter,0,0.1,277586.1138587892,0.0019845991894273,8760.0
CAR,quarter,30,0.1,238528.00775387883,0.0017053536441844,5654.0
FLA,quarter,10,0.1,225230.0138719678,0.0012217254889416,3784.0
CAR,month,100,0.1,56757.89868506789,0.0004057900381187,2784.0
FLA,month,30,0.08,175041.80740338564,0.0009494872999328,2678.0
CAR,month,10,0.03,186407.00317928195,0.0013327150348788,7912.0
MIDA,quarter,30,0.07,562679.5739250183,0.0010256597255606,8759.0
FLA,year,10,0.02,159706.01498931646,0.0008663006581381,4214.0
CAR,quarter,100,0.01,14488.001547694206,0.000103581824495,2677.0
CAR,year,50,0.07,220452.402223289,0.0015761222803177,4666.0
